王家卫
序号	评分	电影名	电影信息
0	8.8	重庆森林重慶森林	[(0, '主演是林青霞,金城武,梁朝伟,王菲,周嘉玲。编剧是王家卫。类型是剧情、爱情。制片国家/地区是中国香港。语言是粤语、汉语普通话、英语、印地语、日语。上映时间是1994-07-14(中国香港)。时长是102分钟。'), (1, '剧情简介是编号为223的警察（金城武）失恋后患上失恋综合症，在与金发女杀手（林青霞）擦肩而过又离奇相遇并有了一晚温情后，原本以为包括“爱情”在内的所有东西都有保质期的他意外地迎来心灵的短暂温暖。可是，他们的爱情还是结束了。快餐店新来的女招待阿菲（王菲）爱上了时常光顾快餐店的编号为663的警察（梁朝伟），因拆了他的女友（周嘉玲）留在快餐店给他的“分手”信，阿菲知晓了他的心情，偷拿到他的钥匙趁他不在时常潜入他家，一边梦游一边悄悄地改变他的生活，终在被他撞见时令其感受到情感的回归。然而，这才是他们爱情的开始。'), (2, "['一个人哭了，你给纸巾他就行；\\u3000\\u3000但如果一间屋哭了，你就要做很多事情。', '看旧电影最无法跨越的逻辑障碍：金城武怎么可能会被甩！梁朝伟怎么可能会被甩！这不是渎神吗！', '重新看了一遍重庆森林。想知道金城武为什么可以连吃三十罐凤梨罐头加四份厨师沙拉薯条汉堡而不胖。因为早上六点起床跑步吗？', '那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能', '最喜欢王菲一边开着水龙头一边说因为下雨没有办法交电费.还有那个加洲梦的音乐.', '唉！装逼文艺青年必看，从台词到镜头，掉帧什么的，哎哟~~~骚！托尼梁制服诱惑受不了啊，原来那么多文艺青年的台词都是这里来的，连周星驰那句都是。。。。--那个时候的王菲（还叫王靖雯）和金城武都像虾饺一样', '我想和梁朝伟演的那个633谈恋爱……太帅了太帅了！！', '最喜欢的一部王家卫片子。喜欢王菲的那种“我爱你与你无关”的单纯，喜欢她把唱碟机开到最大，摇头晃脑地听着mamas&papas的《californiadreaming》的样子~~', '看了28遍', '两个故事，似乎梁朝伟的故事更是我的菜。原来爱情还可以这样——梦游。无论是633的家里，还是“加州”，都是相同的地点，不同的时间。空间的距离，最终却都会重逢。“她走了之后，家里很多东西都很伤心，每天晚上', '对于失恋的人，看这片再合适不过。无数遍了，每年都会重看，历久弥新，总会在片里有新的细节可以发现。没想到这次是在失恋中。如果热爱重庆森林也需要一个期限，我希望是一万年。', '重看了王菲－梁朝伟演的后半段，瘫倒了，太美好太美好！墨镜把爱情中与身体、力比多、占有无关的非物质性的那部分浪漫化到了极致！错位，颠倒，迷失，梦幻，不可触及，这大概即是爱情最动人的特质，也是香港这座城市', '更喜欢后半段', '这部片里的王菲和金城武都还是他们最光芒万丈的时候.', '其实了解一个人并不代表什么，人是会变的，今天他喜欢凤梨，明天他可以喜欢别的。', '城市里的现代童话..加州住着不同的人，流泪的房子和变胖的香皂', '阿菲及這個電影它屬於治癒系，不開心就會看。', '王家卫代表作,描写都市生活的迷茫疏离和失恋的孤独寂寞。1.高度风格化的摄影:晃动手持+特效制造眩晕恍惚效果,鲜艳多样的色彩与布光,前景举杯慢动作+后景人群快进的镜头赞绝;2.两段无关故事,琐碎独白,肥', '你不说，我不说。', '喜欢王菲那段.', '只有寂寞没有期限', '王家卫的电影给人坐在小酒馆微醺独酌的感觉不需要他人参与只需要在他的电影里看到自己的影子就够了', '那些絮叨太有魂了', '当时没有看得太懂的一个片子', '暗恋是最美好的情节', '因为被《摆渡人》恶心坏了，昨晚又看了一遍《重庆森林》。彼时三十出头的梁朝伟正处于颜值巅峰，二十出头的金城武则看上去太青涩了。在王家卫的作品中，《重庆森林》肯定很难归入最经典之列。看《重庆森林》最难忘的', '1993年你留着男生一样的短发，在柜台前跟摇滚乐摇头晃脑。那时候的你已经找到了适合自己的表演风格。当被问到获得斯德歌尔摩国际电影节影后的感受时你却说「太奇怪了」——呵呵，你这样的影后也是无双的吧？', '最大的惊喜是王菲，眼神都是灵气，暗恋演得很到位。台词充满文艺的腔调，把失恋诗意化、悲伤化。', '「我开始怀疑，在这个世界上还有什么东西是不会过期的」', '挺想知道如果这电影不是王家卫+梁朝伟+王菲+林青霞+金城武，一样的表演、台词、镜头，会不会被人喷出来翔？', '第一个故事还觉得形式有点大于内容，第二个故事太有趣，“她走了之后，家里很多东西都很伤心。每天晚上，我都要安慰他们，才能睡觉。”，“不知道是我忘了关水龙头，还是房子越来越有感情。我一直以为它是最坚强的，', '4.5。至此最中意的一部王家卫。肆意而精准，形式美感达到极致。你看他们，以为不会再爱，却总能在有意的等待和无意的寻觅里邂逅下一场，所以哪里有什么“有情人终成眷属”的浪漫啊，有的只是“只要想爱，都能爱上', '世界上，没有什么是不过期的。失恋时候看孤单，更深刻。', '太喜欢Californiadreaming，尤其喜欢最后王菲拖着箱子小腿进入镜头的那个片段，更喜欢最后梁朝伟看她的那个带笑的眼神，无法抵抗啊！！！那时候的天后真是，青春逼人〜', '下雨天真适合重看呀。凭借着制服的威力，梁朝伟生生帅过了金城武！以及，知道梁朝伟很慢很慢的喝咖啡那个镜头是怎么拍的之后，再看简直笑趴了……', '看着它哭的样子，我觉得很开心，因为无论它的外表怎么变，它仍然是一条多愁善感的毛巾。', '闷骚电影。', '高峰时期的王家卫。每个镜头都充满无穷的生命力【电影资料馆】', '失恋无聊的警察金城武爱上了戴金色假发的女杀手林青霞；在速食店打工的王靖雯暗恋着每晚来买宵夜的警察梁朝伟。落在王家卫的魔手却拍成了深具映象魅力的新感觉派电影，堪称迄今为止最能掌握新新人类触觉的华语片。', '🎵记得那年年纪小疯逼少女见识少看评论以为全球人民都热爱疯逼女文青、技术流stalker长大以后才知道这还是个看脸的世界╮(╯_╰)╭嘻嘻嘻嘻嘻嘻嘻🎵', '所有东西都会过期，但王家卫的电影永远不会过时。', '“没有人看了重庆森林而不爱上王菲”——昆丁', '不知道金城武出场是干嘛的。王菲梁朝伟那段真是无数灵感的片段，王菲好美。加州梦成了一个motif。杜可风的摄影真好。这其实不是所谓都市男女的感情啊，这是多么典型的王家卫式感情，有旧式张爱玲时代调情的风度', '冲王菲去看的', '王家卫真不愧是都市的心灵捕手。他的色彩、画面、剪切和故事剧情都有种慵懒的颓废的美感。在重庆森林里，各个故事都用都市情感的迷茫和颓废表达简单而真挚的爱。金城武过期的爱情，林青霞霸气的毒贩，还有王菲的傻兮', '无限欲望的都市人群。★★★★☆', '末吉问我，这片子哪里好看。我没有犹豫告诉她：金城武和梁朝伟。', '那條電梯我搭了很多遍,每次都望旁邊的窗,希望看到王菲,663,沒看到,反倒在橋下和張曼玉小姐相遇了......', '我想我已经厌倦了王家卫式的忧伤，说来说去，不过爱情，记不清什么时候，三个月前或者九个月？是，这个世界难以言说的愁那么多，不可斗量。可，那又有什么用呢。我更加坚信好的作品是应该能给人美的感受的，能让人勇', '王菲！王菲！！王菲！！！爱死！！！！']"), (3, '好于98%爱情片,好于96%剧情片。金马奖最佳剧情片(提名)。最佳电影。金豹奖(提名)。'), (4, "['./data/post_video/王家卫/重庆森林 重慶森林/image/剧照1.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/剧照2.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/剧照3.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/剧照4.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/剧照5.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/海报1.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/海报2.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/海报3.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/海报4.jpg', './data/post_video/王家卫/重庆森林 重慶森林/image/海报5.jpg']"), (5, "['./data/post_video/王家卫/重庆森林 重慶森林/video/视频1.mp4']")]
1	9.0	春光乍泄春光乍洩	[(0, '主演是张国荣,梁朝伟,张震,格利高里·戴顿。编剧是王家卫。类型是剧情、爱情、同性。制片国家/地区是中国香港、日本、韩国。语言是粤语、汉语普通话、西班牙语。上映时间是1997-05-30(中国香港)。时长是96分钟。'), (1, '剧情简介是黎耀辉（梁朝伟）与何宝荣（张国荣）是一对同性恋人，为了有新的开始，他们怀着美丽的梦想（去看南美洲大瀑布）离开香港来到阿根廷，却在布宜诺斯艾利斯迷了路。黎耀辉想安下心来过日子，无奈何宝荣于夜夜笙歌中放纵着自己的生命，以期找寻更多的刺激，只当黎耀辉是他受伤后的港湾，两人分歧、争吵越来越多，心的距离越来越远。黎耀辉明白过去的日子不可能再复返时，决定离开何宝荣，而正是在他离开后，绝望的意味（对黎耀辉的爱）才在何宝荣的脑海中完整地浮现。'), (2, "['张国荣转过身抽烟的样子看的我酥掉了=。=', '张国荣死后，有一个女荣迷，在网上发了一片贴子，说到自己看到梁朝伟的情形，有一次梁朝伟到内地来演出，等演出完毕后她守在他出门的必经之路，等看到他和一群人走来，她便大声的哭喊道：“黎耀辉，你还记不记得何宝', '何宝荣。黎耀辉。如果你对一个人有特别的感情，你会更喜欢叫他的全名。', '光棍节给自己准备的电影《春光乍泄》，根本就是找虐。。。。黎耀辉简直是八心八箭4个9的纯GAY，极品中的极品，GAY中的爱马仕，GAY中的劳力士，GAY中的劳斯莱斯，上下5000年不可多得的尤物！！！我', '爱一个男的还是爱一个女的尤其的不重要，只是爱一个爱上了的人……这个世界就完了', '梁朝伟加张国荣,简直是挡不住的诱惑.', '我敲诈你，人质是我自己', '没有张国荣就没了魂，绝非夸夸其谈', '总是觉得，站在瀑布下的应该是两个人。', '影片两个男主人公的名字竟然就是两个摄影助手的名字，感叹于王家卫随性而行的个性。', '爱到极至，就是两个人的互相折磨。', 'Loveisthebest，theworldistherest.', '第一次看王家卫导演的《春光乍泄》还是十年前，那会儿以为这就是一个同志爱情故事。北影节最后那天，在电影资料馆又看了一遍，到了这个年纪，有了一定的阅片量之后，总算是有点看懂了这部电影的好。才发现它讲的根本', '中间两个人在屋内调情、嬉笑怒骂那段居然那么有趣。“我终于来到伊瓜苏，觉得好难过，因为我始终觉得，站在瀑布下面的，应该是两个人。”', '感情说穿了一人挣脱的一人去捡', '从来只有半部的《春光乍泻》', '他说，不如我们从头来过。', '谁是何宝荣？谁愿在一个转灯里看出真瀑布来？谁在意楼道里的声音？谁藏起了护照，谁抱着你吻着你只穿四角裤醉倒在布宜诺斯艾利斯的天台上？而直到最后，又是谁被瀑布的激流打得浑身透湿，分不清是否有落下一滴眼泪了', '还能说什么呢？探戈，大提琴，黄色滤镜，南美大瀑布，世界尽头，相比纠结的爱情，我更喜欢黎耀辉看到小张家人时的感言：我现在知道为什么小张可以自由自在的走来走去，因为他知道该回到哪里。', '其实何保荣才是彻底的loser。你去了瀑布你难过悲伤可是你回到了地球另一端，而他还在那儿假装依然可以重头来过，你却再也不出现。（最好是，收拾好一切，再也不见）', '我铺好了我们的床，我整理好了你的柜子，我摆好了你买来的香烟，我点亮了你一直留着的那盏灯。然后我开始擦地，擦着擦着，我突然意识到你不会再回来了，我抱着我们一起盖过的那条毯子，哭了……', '看的第一部涉及同性感情的是霸王别姬，待看完也只以为是友情，哦，当年太纯粹！春光乍泄是第二部，这部很明显，看完惊呆了。梁朝伟演技大赞，他发着烧还在烧饭的样子一直记得，无奈和宠溺。', 'HappyTogether，不如我们再从头来过。原来寂寞的时候，所有的人都一样。', '我可能还会看一遍两遍三遍。第85分钟，如果你爱的人没有像你期望的那样爱你，请原谅他，也许在以自己的方式爱你，或是怀念你。', '刚开始看的时候就被一股浓烈的港人对归属的焦虑感侵袭，没想到王家卫在最后还是借着黎耀辉的口点出了这个主题。但是这部电影打动我的地方却是黎耀辉这个角色本身，因为有那么多像他这样的人默默的努力的生存，如此值', '不如我们重新开始，爱情纠缠，男女一致', '寂寞散开了，个个都是一样的。', '在大学的《婚姻与爱情》课上，老师说过如果你爱上了一个不会爱人（或者说情感有缺陷）的人，你是无法教会ta的，你最好的办法只有离开。爱对的时候，就算不知，也许也可以感觉到：“不知道为啥，那年夏天好像过得很', '看瀑布是一个承诺，看灯塔也是一个承诺。从头来过，意味着需要一个新的承诺。五十年不变，更是一个难以兑现的承诺。无尽的情爱游戏耗尽了人生，一切都要结束。', '我终于明白为什么可以这样开心的在外面走来走去，因为起码有个地方可以回来。', '一个无奈，一个活该，一个永远置之度外。', '一直以为我跟何宝荣不一样，原来寂寞的时候，所有的人都一样。当我站在瀑布前，觉得非常的难过，我总觉得，应该是两个人站在这里。试问谁不想从头来过，但世间又有多少爱可以重来呢？时光如同白马过隙，我们再也回不', '最记得厨房中那一支探戈。', '王家卫代表作，获戛纳最佳导演。①浓到化不开的颜色，痛到说不出的情殇。②在地球的另一面，世界的尽头，伊瓜苏让寂寞一泻千里，一如那盏台灯。③墨镜王受安东尼奥尼与戈达尔影响颇深，片名得自[放大]，跳切旁白，', '张国荣抱着毯子哭的那段太揪心了。', '张国荣演技没的说', '以前我不懂微醺到底有什么好当我懂得后我才明白这电影有多迷人', '我终于来到瀑布，想起何宝荣，有些难过，我觉得这应该是两个人来的地方。我为瀑布倾倒。', '再也不会有这样一部电影.', '因为张震有家，所以他可以自由自在的满世界跑，哪怕是世界尽头。因为梁耀辉放不下何宝荣，所以他才会被束缚在布宜诺斯艾利斯。何宝荣看似放荡，但在内心中，梁耀辉才是家。说到底，没人会一直在原地等你，当你醒悟时', '当年看没啥感觉。后来越想越凄怆……', '想到有部电影中说过一句，我最害怕的是有一天我用尽了对你的爱。也许会永远的爱你，但已无力再爱你，只有离开你，虽然很遗憾', '爱起来没什么好事，贫穷，气恼，后悔，折磨你，被你折磨。从来不开心，从来都爱你。', '何宝荣.我很想念你.', '爱好难啊。', '语言贫乏，三言两语道不明。喜欢这部电影，跟同性恋题材无关。喜欢恰恰是因为情侣间的亲密、猜忌、嫉妒、占有、自私在电影里表现得细致且超出同性范畴，对话和日常互动就能给五星。结局很好，生活常态，看完很难过，', '“春光里他有多少萎靡不振，就有多少缠绵低回。他的眼神和嘴唇带着鸿蒙初辟时的柔嫩和恍惚。他的肉体之美难以定义。他身上的淫荡显得很天真，他的不负责任显得天经地义。”', '“我觉得这应该是两个人来的地方。”世界尽头的美，慵懒的音乐，昏黄的灯光，相拥的两人。爱情就应该是直接的……梁朝伟！！！帅！！！还有果然我还是从心底里喜欢看GAY片的，并且哥哥真的很，传神。', '摄影不能更牛。二刷觉得实在是真好和真好，表现主义大师王家卫。', '其实要不是生命中出现了那些人，我们都不曾会是现在的自己。']"), (3, '好于99%同性片,好于98%爱情片。主竞赛单元金棕榈奖(提名)。金马奖最佳导演(提名)。最佳电影(提名)。'), (4, "['./data/post_video/王家卫/春光乍泄 春光乍洩/image/剧照1.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/剧照2.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/剧照3.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/剧照4.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/剧照5.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/海报1.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/海报2.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/海报3.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/海报4.jpg', './data/post_video/王家卫/春光乍泄 春光乍洩/image/海报5.jpg']"), (5, "['./data/post_video/王家卫/春光乍泄 春光乍洩/video/视频1.mp4', './data/post_video/王家卫/春光乍泄 春光乍洩/video/视频2.mp4', './data/post_video/王家卫/春光乍泄 春光乍洩/video/视频3.mp4']")]
2	8.7	花样年华花樣年華	[(0, '主演是梁朝伟,张曼玉,潘迪华,萧炳林,张耀扬。编剧是王家卫。类型是剧情、爱情。制片国家/地区是中国香港。语言是粤语、上海话、法语。上映时间是2000-09-29(中国香港)。时长是98分钟。'), (1, '剧情简介是1960年代的香港，报馆编辑周慕云（梁朝伟饰）与太太搬进一间住户多是上海人的公寓，和某家日资公司的贸易代表陈先生与太太苏丽珍（张曼玉饰）成了邻居。因为发现各自在外工作的配偶背着他们有了婚外情，周慕云和苏丽珍开始见面商讨未来可能发生的事情以及相应对策。起初两人是君子之交淡如水就事谈事，可是日子一日接一日过去后，在周围一帮上海邻居的闲言碎语中，他们发现配偶的事早空出了他们的脑袋，彼此眼里只剩下了对方，而刻意回避已生出的感情的结果，是更加刻骨的相思。'), (2, '[\'王家卫最强的,就是让人掉到一种情绪中去\', \'张曼玉比梁朝伟高，但他们站在一起那么协调。想来，是穿了高跟鞋的她，懂得委婉地低头的缘故。\', \'隐忍的中年激情。＂我一开始只是想知道他们是怎么开始的，后来我发现原来一切都是在不知不觉中发生的。＂\', \'君知妾有夫，赠妾双明珠。感君缠绵意，系在红罗襦。妾家高楼连苑起，良人执戟明光里。感君用心同日月，誓拟侍君同生死。还君明珠双泪垂，恨不相逢未嫁时。\', \'谁先感到了寂寞，谁就输了。\', \'张曼玉最致命的武器便是她的各种旗袍。\', \'Theyareinthemoodforlove,butnotinthetimeandplaceforit.剧本很有意思，设置了一对在电影里没有任何镜头的偷情男女，却又无时不刻地提醒着周慕云和苏丽珍不要\', \'深夜，雨巷，慢镜头；暧昧，寡欢，语还休。与君淡如水，千杯亦不醉。\', \'这些年来我一直想问你，如果有多一张船票，你会不会跟他走？\', \'最棒的故事不是大战七七四十九个回合，而是欲言又止。\', \'张小姐小腿不错，梁先生发型不错。\', \'一切都退去了，香港、1962年、那个陈旧的秘密…“如果多一张船票，你会不会和我一起走？”也许~也许~\', \'“回去给我打个电话，你不用说话，响三下就好。”看这部时真的会觉得旗袍就是为张曼玉而生。\', \'【從明天開始我不能再見你了。】【真的麼？】【是。】於是蘇麗珍伏在周慕雲的肩頭從未有過的傷心。\', \'在梁朝伟喂到第二声的时候，我的眼泪突然就下来了\', \'一对处处隐忍憋炮的男女，一场原本毫无压力的换妻，一段彼此错过的爱情，一张留在电话声里的船票。再也回不去的时代，再也晾不干的记忆。空余怀念过去的情绪，积满灰尘的玻璃。\', \'张曼玉的手会演戏，怀旧中黄色的氛围……\', \'好看。又闷骚又让人心痒痒的，最后那个无声的电话还真是让我有点心痛呢。。。而且听久了，感觉上海话和粤语混一起完全没有不和谐啊哈哈。顺便求张曼玉全部旗袍的相册（豆瓣一定有！\', \'多年未看，这一遍的感觉是：王家卫用符号帝国（几乎每一个镜头都是表意符号）来追忆－构筑的逝水年华（时间的绵延感），无怪乎法国人会如此沉醉其中。\', \'整体上和《阿飞正传》太像了，无论是镜头语言，还是色彩搭配，亦或特定意象的运用。比如反复出现的时钟，次要人物不露正脸，镜头从角落里拍摄等等。这样的电影让观众觉得自己是在偷偷旁观他人的故事，神秘而又充满诡\', \'又把花样年华看了一遍，最后字幕的时候瞄到一样有一个摄影助手叫黎耀辉，然后我有认认真真的把字幕看了一遍想找找会不会有人叫何宝荣。当然最后没有找到，看来他们注定是不能在一起的。他们也是，就算多一张船票。\', \'如果我自己买船票，你会不会带我走？\', \'孙太太的暗示，何先生的摇头，同样的事情，总是对女性苛责过多。\', \'独属于王家卫的暧昧~~\', \'东方人讲出轨故事真心有调调啊，脑补一下类似的故事让伍迪艾伦来讲……\', \'我一直想给它写段短评，但后来我知道，当你太爱某样东西的时候，言语是那么匮乏。\', \'那个年代，这种题材，一段隐忍挣扎的感情，暧昧，压抑；画面很美，音乐很好听，张曼玉穿的旗袍很美，梁朝伟风度翩翩，这就是王家卫的花样年华。\', \'偶然看到了被删掉的周慕云和苏丽珍在吴哥窟的重逢，两人就这样不期而遇，用《一代宗师》的装逼台词来说就是“人世间所有的相遇，都是久别重逢”，用到花样年华中再贴切不过了。\', \'闷烧男女，麻将，旗袍，上海女人\', \'"如果我有多一张船票,你会不会跟我一起走？“王家卫将一段婚外情拍摄得含蓄克制，别有魅力。杜可风的摄影功不可没:氤氲迷离的画风,暗调布光,还有大量对镜子反射的利用,镜头中频频出现的门框、栅栏、窗户等都是\', \'光与影的神奇组合\', \'跟我走。\', \'王家衛主角的邏輯通常是：儘管我想你和我一起走，可我還是只會買一張船票…因我太怕受傷，所以不想給自己機會失望，於是就有藉口遺憾感懷。把一切可能和期望都存進幻想，這樣它再脆弱不堪也好過被當面砸爛。之所以如\', \'王家卫这人真的是无聊到爆了。一个字，贱。民国时候讲上海话真的霸气啊，唬得香港人一愣一愣的，到底是国府话。现在就是落寞王孙了。哎，一朝天子一朝臣。最后字母打出来，说如果能回到过去，那个男人会回去那些消散\', \'人压抑久了就会想要叛逆。为什么会纠结因为纠结会让你内心好过一些\', \'如果说西方最认可的中国导演应该是非王家卫莫属了，而其中最引人注目的作品就是这部《花样年华》，IMDB、TSPDT、BBC、视与听排名最高的华语电影无一例外是《花样年华》。王家卫导演、杜可风摄影、张叔平\', \'二十六身旗袍，三场雨，两个人，一生遗憾。\', \'王家卫描绘60年代流动性的香港，无根且文化杂糅，情感上的失败者一些事情就是学都不会。把各种电影元素都做到了极致来讲这个暧昧的婚姻故事，也得到了世界性的共鸣。梁夺戛纳影帝，但对张的表演更爱，尤其是那场问\', \'暧昧的极致。慢镜、掉帧、强烈视觉冲击和明暗对比，墨镜王的拿手好戏。镜头极度减省，但又几乎没有牺牲叙事。难以模仿和超越的巅峰之作。\', \'日本花布，一件就是一幅图画。和服裁制极繁，衣料上宽绰些的图案往往被埋没，倒是做了线条简单的中国旗袍，予人印象明晰。棕搁树的叶子半掩着缅甸小庙，雨纷纷，是红棕色的热带。初夏的池塘，水上结一层绿膜，配着浮\', \'不敢相信我第一次看这部片的时候竟然只给了四星。\', \'演员的演技非常好，张曼玉换了很多身旗袍，很好看，穿旗袍走路的样子，神情，举手投足表演的非常细腻\', \'爱情没有对与错。浮华褪尽，她比烟花寂寞，我要你知道，在这个世界上有一个人是永远等着你的，不管在什么时候，不管在什么地方。反正你知道，总有这么一个人……\', \'感情很多时候是不可控的，谁都不会想到开始的模仿到最后是对彼此依恋，奈何敌不过世俗，跨不过那道坎，最后也只能是想念却不相见。\', \'蔓草、生长、缝隙、门墙，走不出的迷宫。摄影、配乐和剪辑完全超越我贫乏的语言。丝丝入扣的细腻感和结尾快速时间、场景切换的灵性完全没有龃龉反而让短短不到100分钟张力无穷。另一个角度来说，香港与海外场景，\', \'每看一遍都感觉比上一遍更好，与《甜蜜蜜》并列为我心目中的华语爱情片经典，从美术摄影剪辑到表演与对白，这种feel只属于王家卫，墨镜王你要好好拍《一代宗师》啊！！PS：大银幕看胶片的感觉太太太...太爽\', \'这样说来，花样年华应该是王家卫唯一一部将文艺完全内化的作品吧。可想而知，他得憋得多用力。\', \'满满的情绪似乎要从屏幕内溢出一般，感触细腻，结构工整，虽无金碧辉煌锦衣玉袍，但每一帧都似乎已极尽奢华；王家卫拍的从来都不是电影，而是寂寞。\', \'如果我多一张船票,你会和我走么\', \'英文名取得真好，这部电影实在就是一种Mood的影像化，此种情绪的存在模糊了时间和言语，令电影同时拥有了极强的情感张力和前卫的实验性，像一支优雅含蓄却闪亮的现代舞。\']'), (3, '好于97%爱情片,好于94%剧情片。主竞赛单元金棕榈奖(提名)。金马奖最佳剧情片(提名)。最佳电影(提名)。'), (4, "['./data/post_video/王家卫/花样年华 花樣年華/image/剧照1.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/剧照2.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/剧照3.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/剧照4.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/剧照5.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/海报1.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/海报2.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/海报3.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/海报4.jpg', './data/post_video/王家卫/花样年华 花樣年華/image/海报5.jpg']"), (5, "['./data/post_video/王家卫/花样年华 花樣年華/video/视频1.mp4', './data/post_video/王家卫/花样年华 花樣年華/video/视频2.mp4']")]
